date,week_num,opp,home_away,result,cmp,att,pct,pass_yds,ypa,pass_td,intercept,rating,total_yds,total_td
2024-09-08,1,BUF,away,L,21,31,67.7,162,5.2,1,0,91.1,219,1
2024-09-15,2,LAR,home,W,17,21,81.0,266,12.7,3,0,158.3,325,3
2024-09-22,3,DET,home,L,21,34,61.8,207,6.1,1,1,76.5,252,1
2024-09-29,4,WAS,home,L,16,22,72.7,142,6.5,1,0,104.7,145,1
2024-10-06,5,SF,away,W,19,30,63.3,195,6.5,1,1,79.2,278,2
2024-10-13,6,GB,away,L,22,32,68.8,214,6.7,1,0,97.7,228,1
2024-10-21,7,LAC,home,W,14,26,53.8,145,5.6,1,1,67.0,209,2
2024-10-27,9,MIA,away,W,26,36,72.2,307,8.5,2,0,116.3,326,2
2024-11-03,10,CHI,home,W,13,20,65.0,154,7.7,0,0,88.3,160,0
2024-11-10,11,NYJ,home,W,22,24,91.7,266,11.1,1,0,126.7,287,3
2024-11-24,12,SEA,away,L,24,37,64.9,285,7.7,0,1,77.0,294,0
2024-12-01,13,MIN,away,L,31,45,68.9,260,5.8,1,2,72.5,308,1
2024-12-08,14,SEA,home,L,25,38,65.8,259,6.8,2,2,80.9,275,2
2024-12-15,15,NE,home,W,23,30,76.7,224,7.5,0,0,97.1,235,0
2024-12-22,16,CAR,away,L,20,32,62.5,202,6.3,1,1,77.9,265,2
2024-12-28,17,LAR,away,L,33,48,68.8,321,6.7,1,2,76.8,353,1
2025-01-05,18,SF,home,W,25,35,71.4,242,6.9,4,0,128.5,264,4
